COLOR WI,COLOR YI,ODOR LVL,VOLATILE,Antiblock Type,,AO2 Type,,AO1,AO2/AO1 Ratio,Acid Scavenger,Slip Agent,Gels Performance,,,,
,,,,,,,,,,,,FE-S,FE-M,FE-L,Defect Area,Judgement
,,,,Silton,AB-GASIL,IRG-168,W399,Ir-1076,,ZNST,errucamide,,,,,
52.530,-4.600,2.000,0.007,0.000,0.176,0.000,0.113,0.045,2.511,0.045,0.084,2.700,0.300,0.000,1.040,Low Gel
54.110,-4.920,2.000,0.011,0.000,0.177,0.000,0.113,0.046,2.457,0.046,0.118,4.000,0.700,0.000,1.900,Non Low Gel
54.390,-5.230,2.000,0.015,0.000,0.186,0.000,0.117,0.048,2.438,0.048,0.106,1.700,0.300,0.000,0.690,Low Gel
53.080,-4.860,2.000,0.014,0.000,0.185,0.000,0.117,0.049,2.388,0.049,0.113,2.100,0.400,0.000,1.100,Non Low Gel
53.410,-5.000,2.000,0.006,0.000,0.184,0.000,0.116,0.048,2.417,0.048,0.120,3.000,0.600,0.000,1.600,Non Low Gel
53.540,-4.650,2.000,0.038,0.000,0.184,0.000,0.118,0.048,2.458,0.048,0.104,3.900,0.600,0.000,1.690,Non Low Gel
54.280,-4.850,2.000,0.007,0.000,0.182,0.000,0.116,0.045,2.578,0.045,0.116,2.100,0.400,0.000,0.980,Non Low Gel
54.380,-4.820,2.000,0.013,0.000,0.192,0.000,0.116,0.047,2.468,0.047,0.118,3.000,0.400,0.000,1.330,Non Low Gel
53.430,-5.190,2.000,0.058,0.000,0.188,0.000,0.117,0.048,2.438,0.048,0.112,2.400,0.300,0.000,1.030,Low Gel
54.030,-4.820,2.000,0.020,0.000,0.183,0.000,0.118,0.048,2.458,0.048,0.120,1.600,0.200,0.000,0.700,Low Gel
54.560,-4.950,2.000,0.005,0.000,0.182,0.000,0.118,0.050,2.360,0.050,0.104,4.600,0.600,0.000,1.920,Non Low Gel
52.430,-4.790,2.000,0.011,0.000,0.181,0.000,0.116,0.050,2.320,0.050,0.103,1.800,0.400,0.000,0.970,Non Low Gel
53.090,-5.160,2.000,0.013,0.000,0.179,0.000,0.117,0.048,2.438,0.048,0.114,2.600,0.300,0.000,1.100,Low Gel
54.270,-5.100,2.000,0.005,0.000,0.180,0.000,0.116,0.049,2.367,0.049,0.107,2.500,0.300,0.000,0.950,Low Gel
53.950,-5.300,2.000,0.009,0.000,0.185,0.000,0.117,0.048,2.438,0.048,0.110,3.200,0.500,0.000,1.460,Non Low Gel
53.210,-5.360,2.000,0.017,0.000,0.195,0.000,0.121,0.049,2.469,0.049,0.106,3.900,0.500,0.000,1.680,Non Low Gel
54.910,-5.260,2.000,0.012,0.000,0.179,0.000,0.122,0.049,2.490,0.049,0.106,3.000,0.300,0.000,1.090,Low Gel
